"","applying(face)","asking(comparing)","celebrating(together)","counting","gesturing(no)","fanning","gesturing(move_here)","getting_down(ducking)","hugging","kicking(passing)","kicking(aggressively)","laughing","leaving","unscrewing","prodding","filling","scratching(head)","smashing","clenching_fist","staggering","stretching_self","steadying_somone","aching(back)","waving(hello)"
"kicking(aggressively)",7.30392156862745,7.42156862745098,5.58823529411765,7.43137254901961,6.38235294117647,6.62745098039216,7.14705882352941,4.79411764705882,6.82352941176471,3.3921568627451,0,6.91176470588235,6.7843137254902,7.2843137254902,6.97058823529412,7.33333333333333,7.42156862745098,4.12745098039216,5.87254901960784,4.68627450980392,6.00980392156863,6.57843137254902,6.54901960784314,7.1078431372549
"laughing",5.95098039215686,5.86274509803922,4.74509803921569,6.46078431372549,6.1078431372549,5.51960784313725,4.47058823529412,6.13725490196078,4.50980392156863,5.86274509803922,6.91176470588235,0,7.1078431372549,5.82352941176471,6.51960784313725,6.09803921568627,6.41176470588235,6.85294117647059,7.01960784313725,5.61764705882353,5.8921568627451,5.98039215686275,5.98039215686275,4.97058823529412
"leaving",7.15686274509804,7.22549019607843,6.80392156862745,7.1078431372549,6.18627450980392,7.05882352941176,6.99019607843137,6.7156862745098,6.17647058823529,6.25490196078431,6.7843137254902,7.1078431372549,0,7.04901960784314,7.12745098039216,7.05882352941176,6.61764705882353,6.63725490196078,5.93137254901961,5.98039215686275,6.77450980392157,6.93137254901961,6.11764705882353,6.65686274509804
"unscrewing",4.08823529411765,4.74509803921569,6.67647058823529,3.90196078431373,5.62745098039216,5.16666666666667,5.87254901960784,6.72549019607843,6.02941176470588,6.67647058823529,7.2843137254902,5.82352941176471,7.04901960784314,0,5.14705882352941,2.86274509803922,6.49019607843137,6.48039215686275,6.7156862745098,6.84313725490196,5.50980392156863,5.79411764705882,6.53921568627451,6.58823529411765
"prodding",6.38235294117647,6.34313725490196,6.95098039215686,4.14705882352941,6.7156862745098,6.37254901960784,6.47058823529412,6.7843137254902,6.57843137254902,6.72549019607843,6.97058823529412,6.51960784313725,7.12745098039216,5.14705882352941,0,3.88235294117647,6.61764705882353,6.41176470588235,6.12745098039216,6.87254901960784,6.3921568627451,6.77450980392157,6.72549019607843,6.56862745098039
"filling",5.52941176470588,5.56862745098039,6.87254901960784,3.8921568627451,6.58823529411765,6.2843137254902,6.2156862745098,6.17647058823529,6.06862745098039,7.20588235294118,7.33333333333333,6.09803921568627,7.05882352941176,2.86274509803922,3.88235294117647,0,6.50980392156863,6.45098039215686,6.33333333333333,6.57843137254902,6.14705882352941,6.05882352941176,6.68627450980392,6.74509803921569
"scratching(head)",4.36274509803922,5.33333333333333,6.58823529411765,6.47058823529412,5.99019607843137,5.95098039215686,5.44117647058824,7.01960784313725,6.70588235294118,7.00980392156863,7.42156862745098,6.41176470588235,6.61764705882353,6.49019607843137,6.61764705882353,6.50980392156863,0,7.04901960784314,6.06862745098039,6.94117647058824,5.87254901960784,6.25490196078431,5.77450980392157,4.63725490196078
"smashing",7.01960784313725,6.53921568627451,4.6078431372549,6.80392156862745,5.8921568627451,5.96078431372549,7,4.38235294117647,6.05882352941176,5.75490196078431,4.12745098039216,6.85294117647059,6.63725490196078,6.48039215686275,6.41176470588235,6.45098039215686,7.04901960784314,0,5.40196078431373,5.64705882352941,5.99019607843137,5.84313725490196,6.93137254901961,5.81372549019608
"clenching_fist",6.53921568627451,6.49019607843137,6.40196078431373,6.00980392156863,6.26470588235294,6.85294117647059,6.30392156862745,6.1078431372549,6.76470588235294,6.53921568627451,5.87254901960784,7.01960784313725,5.93137254901961,6.7156862745098,6.12745098039216,6.33333333333333,6.06862745098039,5.40196078431373,0,6.86274509803922,5.68627450980392,6.34313725490196,6.04901960784314,6.79411764705882
"staggering",7.22549019607843,6.92156862745098,5.7156862745098,7.2156862745098,6.7156862745098,6.75490196078431,6.94117647058824,4.8921568627451,5.36274509803922,4.2156862745098,4.68627450980392,5.61764705882353,5.98039215686275,6.84313725490196,6.87254901960784,6.57843137254902,6.94117647058824,5.64705882352941,6.86274509803922,0,6.73529411764706,6.22549019607843,5.35294117647059,6.68627450980392
"stretching_self",6.15686274509804,5.59803921568627,5.7156862745098,6.33333333333333,5.85294117647059,5.79411764705882,6.25490196078431,6.20588235294118,5.73529411764706,6.09803921568627,6.00980392156863,5.8921568627451,6.77450980392157,5.50980392156863,6.3921568627451,6.14705882352941,5.87254901960784,5.99019607843137,5.68627450980392,6.73529411764706,0,5.97058823529412,4.97058823529412,6.27450980392157
"steadying_somone",6.46078431372549,5,4.99019607843137,6.58823529411765,5.2843137254902,5.30392156862745,5.16666666666667,4.93137254901961,5.37254901960784,6.48039215686275,6.57843137254902,5.98039215686275,6.93137254901961,5.79411764705882,6.77450980392157,6.05882352941176,6.25490196078431,5.84313725490196,6.34313725490196,6.22549019607843,5.97058823529412,0,6.01960784313725,5.97058823529412
"aching(back)",6.68627450980392,6.70588235294118,6.84313725490196,6.7156862745098,6.87254901960784,6.77450980392157,6.50980392156863,5.80392156862745,6.69607843137255,4.91176470588235,6.54901960784314,5.98039215686275,6.11764705882353,6.53921568627451,6.72549019607843,6.68627450980392,5.77450980392157,6.93137254901961,6.04901960784314,5.35294117647059,4.97058823529412,6.01960784313725,0,6.96078431372549
"waving(hello)",6.03921568627451,6.11764705882353,4.52941176470588,6.96078431372549,5.12745098039216,4.36274509803922,4.24509803921569,6.67647058823529,5.18627450980392,6.25490196078431,7.1078431372549,4.97058823529412,6.65686274509804,6.58823529411765,6.56862745098039,6.74509803921569,4.63725490196078,5.81372549019608,6.79411764705882,6.68627450980392,6.27450980392157,5.97058823529412,6.96078431372549,0
